species,keep,BirdNET_code,intercept.c,beta.c,intercept.r,beta.r,cutoff85.r,cutoff90.r,cutoff95.r,cutoff975.r,cutoff99.r,cutoff90.r_conf,cutoff95.r_conf,cutoff99.r_conf
Acorn Woodpecker,1,117,1.563589246,0.004166203,3.509595081,0.797944176,-2.224458902,-1.64468962,-0.708265213,0.192954056,1.360401895,0.161827955,0.329982278,0.795825008
American Kestrel,0,88,-1.861962501,0.005623352,0.70609295,0.982954065,1.046344018,1.516990144,2.277162392,3.008755753,3.956468609,0.820094836,0.906967894,0.981228555
American Robin,1,225,-0.868487459,0.006677174,2.250180548,1.214532362,-0.42450865,-0.043601943,0.571626128,1.163724527,1.93073431,0.489101241,0.639138311,0.873330675
Ash-throated Flycatcher,1,130,-1.671359288,0.007315885,1.83286026,1.438645829,-0.068299788,0.253268949,0.772656269,1.272517077,1.920041426,0.562980936,0.684095218,0.872143053
Band-tailed Pigeon,1,143,-3.304175746,0.009737046,1.462327984,2.01419385,0.135177193,0.36485892,0.735833343,1.092860879,1.555357676,0.590216131,0.676084052,0.8256862
Bewick's Wren,1,219,-3.800299204,0.007165948,-0.338923053,1.165479825,1.779116262,2.176054512,2.817176208,3.434194754,4.233486328,0.898078494,0.943596967,0.98570555
Black-backed Woodpecker,1,153,-6.906713307,0.009466451,-2.12329323,1.189426409,3.243491365,3.632438103,4.26065217,4.865248354,5.648447884,0.974230043,0.986083312,0.996489387
Black-headed Grosbeak,1,150,-0.654661324,0.005500237,1.968421349,1.069770166,-0.218570587,0.213880734,0.912361984,1.584583635,2.455385825,0.553267279,0.713483254,0.920954415
Black Phoebe,1,177,-2.567405588,0.00461853,-0.143445293,0.566272741,3.316504953,4.133467326,5.452998266,6.722921071,8.367990906,0.984225609,0.995734827,0.999767872
Blue-gray Gnatcatcher,1,164,-0.134239802,0.003944918,1.68633612,0.635346623,0.075966305,0.804109817,1.980183435,3.112042235,4.578262672,0.690852924,0.878700715,0.989831728
Brewer's Blackbird,1,84,-0.376360288,0.005087996,1.979977108,0.928753274,-0.264199394,0.233913006,1.038447883,1.812736047,2.815756149,0.558213064,0.738550413,0.943521342
Brewer's Sparrow,1,201,-5.448274448,0.008383038,-1.404956532,1.273912738,2.464499721,2.827651378,3.414202073,3.978701231,4.709958699,0.94415189,0.968145449,0.991075219
Brown-headed Cowbird,1,128,-2.737196049,0.004264042,-0.62092061,0.57118756,4.123902255,4.933835024,6.242011978,7.501007652,9.131922381,0.99285261,0.998057843,0.999891854
